啊	a1
哀	ai1
岩	ai2
矮	ai3
爱	ai4
安	an1
俺	an2
暗	an4
肮	ang1
昂	ang2
盎	ang4
嗷	ao1
敖	ao2
袄	ao3
傲	ao4
吧	ba1
八	ba2
把	ba3
罢	ba4
摆	bai3
败	bai4
般	ban1
板	ban3
半	ban4
帮	bang1
绑	bang3
棒	bang4
包	bao1
雹	bao2
保	bao3
报	bao4
白	be2
杯	bei1
背	bei4
崩	ben1
甭	ben2
本	ben3
笨	ben4
哔	bi1
比	bi3
被	bi4
必	bi2
边	bian1
贬	bian3
变	bian4
标	biao1
表	biao3
嫑	biao4
鳖	bie1
兵	bin1
柄	bin3
病	bin4
波	bo1
簸	bo3
播	bo4
博	bo2
蹦	bong4
逋	bu1
补	bu3
部	bu4
不	bu2
衩	ca3
察	ca2
猜	cai1
才	cai2
彩	cai3
菜	cai4
餐	can1
残	can2
产	can3
灿	can4
苍	cang1
超	cao1
曹	cao2
草	cao3
造	cao4
择	ce2
睁	cen1
成	cen2
逞	cen3
趁	cen4
嚓	ca1
诧	ca4
场	cang2
敞	cang3
唱	cang4
砗	ce1
扯	ce3
掣	ce4
痴	ci1
吃	ci2
此	ci3
次	ci4
绰	co2
充	cong1
宠	cong3
铳	cong4
抽	cou1
愁	cou2
丑	cou3
初	cu1
除	cu2
楚	cu3
揣	cuai1
踹	cuai4
穿	cuan1
船	cuan2
铲	cuan3
串	cuan4
创	cuang1
床	cuang2
撞	cuang3
吹	cui1
垂	cui2
春	cun1
蠢	cun3
千	qian1
前	qian2
浅	qian3
倩	qian4
枪	qiang1
墙	qiang2
抢	qiang3
呛	qiang4
悄	qiao1
瞧	qiao2
巧	qiao3
俏	qiao4
切	qie2
轻	qin1
情	qin2
请	qin3
庆	qin4
却	qio2
秋	qiu1
求	qiu2
囚	xiu2
糗	qiu3
搓	co1
脞	co3
错	co4
从	cong2
凑	cou4
措	cu4
歘	cua2
璀	cui3
脆	cui4
存	cun2
寸	cun4
躯	qu1
取	qu3
趣	qu4
全	quan2
期	qi1
其	qi2
打	da3
答	da2
歹	dai3
带	dai4
丹	dan1
殚	dan3
但	dan4
铛	dang1
党	dang3
荡	dang4
刀	dao1
岛	dao3
道	dao4
得	de2
灯	den1
盹	den3
瞪	den4
低	di1
底	di3
第	di4
敌	di2
扚	dia1
颠	dian1
点	dian3
电	dian4
雕	diao1
吊	diao4
爹	die1
蝶	die2
丁	din1
顶	din3
定	din4
丢	diu1
多	do1
躲	do3
堕	do4
夺	do2
东	dong1
懂	dong3
动	dong4
兜	dou1
陡	dou3
豆	dou4
嘟	du1
赌	du3
杜	du4
独	du2
段	duan4
堆	dui1
队	dui4
蹲	dun1
顿	dun4
额	e2
恩	en1
硬	en4
愕	o2
而	er2
尔	er3
二	er4
发	fa2
翻	fan1
烦	fan2
反	fan3
饭	fan4
方	fang1
防	fang2
仿	fang3
放	fang4
飞	fei1
肥	fei2
匪	fei3
费	fei4
纷	fen1
焚	fen2
粉	fen3
份	fen4
风	fong1
逢	fong2
讽	fong3
奉	fong4
缶	fou3
夫	fu1
乎	fu2
府	fu3
父	fu4
尬	ga4
钆	ga2
该	gai1
改	gai3
盖	gai4
甘	gan1
感	gan3
淦	gan4
刚	gang1
港	gang3
杠	gang4
高	gao1
搞	gao3
告	gao4
格	ge2
跟	gen1
耿	gen3
亘	gen4
哥	go1
果	go3
个	go4
各	go2
公	gong1
拱	gong3
共	gong4
勾	gou1
狗	gou3
够	gou4
姑	gu1
古	gu3
故	gu4
骨	gu2
瓜	gua1
寡	gua3
挂	gua4
刮	gua2
乖	guai1
怪	guai4
关	guan1
管	guan3
惯	guan4
咣	guang1
犷	guang3
逛	guang4
国	gue2
规	gui1
鬼	gui3
贵	gui4
肱	gun1
滚	gun3
棍	gun4
铪	ha1
嗨	hai1
孩	hai2
海	hai3
害	hai4
翰	han1
寒	han2
喊	han3
汉	han4
航	hang2
巷	hang4
蒿	hao1
毫	hao2
薧	hao3
号	hao4
黑	he2
哼	hen1
痕	hen2
很	hen3
恨	hen4
喝	ho1
和	ho2
货	ho4
火	ho3
轰	hong1
红	hong2
澋	hong3
讧	hong4
齁	hou1
侯	hou2
吼	hou3
后	hou4
花	hua1
华	hua2
话	hua4
怀	huai2
坏	huai4
欢	huan1
环	huan2
缓	huan3
换	huan4
慌	huang1
黄	huang2
恍	huang3
爌	huang4
惑	hue2
挥	hui1
回	hui2
毁	hui3
慧	hui4
婚	hun1
魂	hun2
机	ji1
己	ji3
记	ji4
急	ji2
加	jia1
假	jia3
架	jia4
甲	jia2
界	jiai4
坚	jian1
简	jian3
见	jian4
江	jiang1
讲	jiang3
匠	jiang4
交	jiao1
狡	jiao3
轿	jiao4
接	jie2
经	jin1
紧	jin3
进	jin4
脚	jio2
纠	jiu1
酒	jiu3
究	jiu4
军	jun1
炯	jun3
俊	jun4
拘	ju1
举	ju3
巨	ju4
局	ju2
娟	juan1
锩	juan3
倦	juan4
绝	jue2
喀	ka1
卡	ka3
呿	ka4
开	kai1
凯	kai3
概	kai4
堪	kan1
砍	kan3
看	kan4
康	kang1
懭	kang3
抗	kang4
考	kao3
靠	kao4
刻	ke2
坑	ken1
肯	ken3
科	ko1
可	ko3
渴	ko2
课	ko4
崆	kong1
恐	kong3
控	kong4
抠	kou1
抅	kou2
口	kou3
寇	kou4
枯	ku1
苦	ku3
库	ku4
哭	ku2
夸	kua1
垮	kua3
跨	kua4
块	kuai3
快	kuai4
宽	kuan1
款	kuan3
眶	kuang1
况	kuang2
矿	kuang4
扩	kue2
亏	kui1
葵	kui2
跬	kui3
愧	kui4
昆	kun1
捆	kun3
困	kun4
拉	la1
拿	la2
哪	la3
那	la4
褦	lai1
来	lai2
乃	lai3
奈	lai4
囡	lan1
男	lan2
懒	lan3
烂	lan4
狼	lang2
朗	lang3
浪	lang4
捞	lao1
劳	lao2
老	lao3
闹	lao4
勒	le2
嘞	le1
能	len2
冷	len3
愣	len4
哩	li1
力	li2
里	li3
利	li4
连	lian2
脸	lian3
练	lian4
良	liang2
两	liang3
量	liang4
撩	liao1
聊	liao2
钌	liao3
料	liao4
烈	lie2
拎	lin1
林	lin2
领	lin3
令	lin4
略	lio2
遛	liu1
流	liu2
柳	liu3
落	lo2
裸	lo3
懦	lo4
咙	long1
龙	long2
拢	long3
哢	long4
篓	lou1
楼	lou2
漏	lou4
陆	lu2
鲁	lu3
路	lu4
鸾	luan2
暖	luan3
乱	luan4
雷	lui2
馁	lui3
内	lui4
伦	lun2
论	lun4
褛	lv2
旅	lv3
虑	lv4
吗	ma1
嘛	ma
麻	ma2
马	ma3
骂	ma4
埋	mai2
买	mai3
卖	mai4
蛮	man2
满	man3
慢	man4
𡘪	mang1
忙	mang2
莽	mang3
猫	mao1
毛	mao2
卯	mao3
冒	mao4
脉	me2
梅	mei2
美	mei3
妹	mei4
们	men1
门	men2
懑	men4
眯	mi1
密	mi2
媚	mi4
米	mi3
绵	mian2
免	mian3
面	mian4
喵	miao1
描	miao2
秒	miao3
妙	miao4
咩	mie1
灭	mie2
明	min2
敏	min3
命	min4
谬	miu4
摸	mo1
魔	mo2
懵	mong1
蒙	mong2
猛	mong3
梦	mong4
谋	mou2
目	mu2
某	mou3
贸	mou4
母	mu3
慕	mu4
握	ngo2
我	ngo3
饿	ngo4
疑	ni2
你	ni3
义	ni4
研	nian1
年	nian2
俨	nian3
念	nian4
嬢	niang1
醸	niang4
鸟	niao3
脲	niao4
业	nie2
您	nin2
佞	nin4
蹃	nio2
妞	niu1
牛	niu2
纽	niu3
𧈾	niu4
女	nv3
噢	o
喔	o1
欧	ou1
偶	ou3
怄	ou4
琶	pa1
爬	pa2
趴	pa3
怕	pa4
排	pai2
派	pai4
潘	pan1
盘	pan2
判	pan4
雱	pang1
旁	pang2
髈	pang3
胖	pang4
抛	pao1
袍	pao2
跑	pao3
拍	pe2
批	pei1
陪	pei2
呸	pei3
配	pei4
怦	pen1
彭	pen2
湓	pen4
噼	pi1
皮	pi2
痞	pi3
屁	pi4
偏	pian1
骈	pian2
遍	pian4
飘	piao1
嫖	piao2
瞟	piao3
票	piao4
瞥	pie1
孬	pie4
撇	pie2
拼	pin1
平	pin2
品	pin3
聘	pin4
坡	po1
泼	po2
颇	po3
破	po4
硼	pong1
朋	pong2
捧	pong3
碰	pong4
噗	pu1
扑	pu2
普	pu3
讣	pu4
起	qi3
气	qi4
恰	qia2
蜞	qie3
穷	qiong2
屈	qu2
犬	quan3
劝	quan4
缺	que2
倾	qun1
群	qun2
檾	qun3
然	ran2
染	ran3
壌	rang2
嚷	rang3
让	rang4
饶	rao2
扰	rao3
遶	rao4
惹	re3
热	re2
仍	ren1
人	ren2
忍	ren3
任	ren4
肏	ri2
若	ro2
绒	rong2
冗	rong3
柔	rou2
煣	rou3
如	ru2
乳	ru3
软	ruan3
蕊	rui3
锐	rui4
润	run4
沙	sa1
杀	sa2
腮	sai1
簺	sai2
赛	sai4
三	san1
伞	san3
善	san4
伤	sang1
赏	sang3
烧	sao1
扫	sao3
绍	sao4
色	se2
生	sen1
神	sen2
省	sen3
甚	sen4
啥	sa4
禅	san2
常	sang2
尚	sang4
韶	sao2
奢	se1
社	se4
纯	sun2
师	si1
时	si2
死	si3
是	si4
哾	so
说	so2
耸	song3
收	sou1
手	sou3
受	sou4
书	su1
属	su2
鼠	su3
诉	su4
耍	sua3
誜	sua4
刷	sua2
摔	suai1
甩	suai3
帅	suai4
酸	suan1
算	suan4
双	suang1
爽	suang3
谁	sui2
水	sui3
睡	sui4
损	sun3
顺	sun4
先	xian1
显	xian3
线	xian4
相	xiang1
翔	xiang2
想	xiang3
象	xiang4
消	xiao1
小	xiao3
笑	xiao4
榭	xie1
邪	xie2
写	xie3
谢	xie4
心	xin1
醒	xin3
性	xin4
修	xiu1
朽	xiu3
秀	xiu4
嗦	so1
所	so3
松	song1
送	song4
速	xu2
栒	suan2
睢	sui1
孙	sun1
需	xu1
绪	xu4
鲜	xuan1
玄	xuan2
选	xuan3
眩	xuan4
血	xue2
寻	xun2
训	xun4
西	xi1
喜	xi3
细	xi4
习	xi2
他	ta1
塔	ta2
胎	tai1
台	tai2
太	tai4
贪	tan1
谈	tan2
坦	tan3
叹	tan4
汤	tang1
堂	tang2
躺	tang3
趟	tang4
掏	tao1
逃	tao2
讨	tao3
导	tao4
特	te2
吞	ten1
腾	ten2
梯	ti1
提	ti2
体	ti3
替	ti4
天	tian1
田	tian2
舔	tian3
挑	tiao1
条	tiao2
斢	tiao3
跳	tiao4
铁	tie2
厅	tin1
停	tin2
挺	tin3
拖	to1
脱	to2
妥	to3
唾	to4
通	tong1
同	tong2
统	tong3
痛	tong4
偷	tou1
头	tou2
透	tou4
突	tu2
土	tu3
兔	tu4
团	tuan2
疃	tuan3
彖	tuan4
推	tui1
颓	tui2
腿	tui3
退	tui4
饨	tun1
屯	tun2
哇	wa1
娃	wa2
瓦	wa3
歪	wai1
外	wai4
弯	wan1
完	wan2
晚	wan3
卐	wan4
汪	wang1
王	wang2
往	wang3
望	wang4
威	wei1
微	wei2
委	wei3
位	wei4
温	wen1
